"Invite Friends","Invite Friends"
"Invite friends","Invite friends"
"Balance amount","Balance amount"
"Redeemed so for","Redeemed so for"
"Referral Link","Referral Link"
"Total amount earned","Total amount earned"
"copied","copied"
"copy the link","copy the link"
"Add","Add"
"at the end of any product / category url to refer any product","at the end of any product / category url to refer any product"
"How it works?","How it works?"
"For every purchase you will earn","For every purchase you will earn"
"Bonus amount","Bonus amount"
"For every","For every"
"on your balance amount you will earn additional","on your balance amount you will earn additional"
"Invite via Facebook","Invite via Facebook"
"Invite via Twitter","Invite via Twitter"
"Invite via Email","Invite via Email"
"Invite Friends via Email","Invite Friends via Email"
"Addresses separated by commas.","Addresses separated by commas."
"Send Invites","Send Invites"
"These emails are invalid, the invitation message will not be sent to","These emails are invalid, the invitation message will not be sent to"
"Email sent successfully","Email sent successfully"
"Affiliate Transactions","Affiliate Transactions"
"Transaction History","Transaction History"
"Date", "Date"
"Credits", "Credits"
"Balance", "Balance"
"Transaction Details", "Transaction Details"
"Status", "Status"
"My Credits","My Credits"
"Referral count","Referral count" 
"Purchased count","Purchased count"
"Powered by","Powered by"
"Social Affiliate","Social Affiliate"
"Amount Credited for Purchase of","Amount Credited for Purchase of"
"Amount Debited for Order #","Amount Debited for Order #"
"Bonus Amount for Friends purchase","Bonus Amount for Friends purchase"
"No Transaction found","No Transaction found"
"Example","Example"
"Debits","Debits"
"Back to affiliate","Back to affiliate"
"Social Affiliate","Social Affiliate"

